text,protext,class
o feminismo no Brasil é mero cooptador de mulheres para a militância esquerdista! Não defende mulheres é apenas um _ https://t.co/qSvyplfFcp,o feminismo no Brasil é mero cooptador de mulheres para a militância esquerdista! Não defende mulheres é apenas um _ https://t.co/qSvyplfFcp,1
"10 de Junho Marcha da Nacionalidade
Partilhe e convide amigos!
#Portugal #OMundoAcabaAmanhaE #RenovarPortugal #PNR https://t.co/CNTAoDafrI",10 de Junho Marcha da Nacionalidade Partilhe e convide amigos! #Portugal #OMundoAcabaAmanhaE #RenovarPortugal #PNR https://t.co/CNTAoDafrI,0
RT @sophiaqualquer: Não são a favor da eutanásia mas apoiam o livro do Cavaco silva,RT USERNAME: Não são a favor da eutanásia mas apoiam o livro do Cavaco silva,1
@flavix @editorahumanas já meu FGTS... https://t.co/zDbg6qy9Wu,USERNAME USERNAME já meu FGTS... https://t.co/zDbg6qy9Wu,0
Meigo! Comunistas coerentes como sempre... https://t.co/qAAU6L807q,Meigo! Comunistas coerentes como sempre... https://t.co/qAAU6L807q,0
"RT @reaconaria: Para defender Jean Wyllys, FHC MENTE e esquece que MANDOU cassar Bolsonaro por chamar ministro de ladrão https://t.co/QTlY4 _","RT USERNAME: Para defender Jean Wyllys, FHC MENTE e esquece que MANDOU cassar Bolsonaro por chamar ministro de ladrão https://t.co/QTlY4 _",0
@beckttx @spacelerman eu pensei q era uma youtuber sapatao,USERNAME USERNAME eu pensei q era uma youtuber sapatao,1
"Placas na praia, soltar pombinhas brancas ou abraço na lagoa?? https://t.co/F4L9zQKsFe","Placas na praia, soltar pombinhas brancas ou abraço na lagoa?? https://t.co/F4L9zQKsFe",0
'o feminismo é importante demais para ficar nas mãos das feministas' - saiu na @folha em pleno 8 de março,'o feminismo é importante demais para ficar nas mãos das feministas' - saiu na USERNAME em pleno 8 de março,0
joguei futebol com o Fabrício,joguei futebol com o Fabrício,0
"A propósito @homemdeverdade não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.","A propósito USERNAME não vai a Campus Party, lugar de baitolinhas sem amigos reais!!!! e muito virgem também.",1
RT @rafaelasf7: Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN @Ab _,RT USERNAME: Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN USERNAME _,1
"O racismo que mulheres negras e latinas sofrem nas áreas de ciência, tecnologia, engenharia e matemática > https://t.co/TPqO635N7z","O racismo que mulheres negras e latinas sofrem nas áreas de ciência, tecnologia, engenharia e matemática > https://t.co/TPqO635N7z",0
Cerveja e bunda #hootersbrasil https://t.co/6tHOFxqh4f,Cerveja e bunda #hootersbrasil https://t.co/6tHOFxqh4f,1
"Difícil pra uma mina burra e insegura que nunca conquistou nada conviver com uma mulher bonita, inteligente e independente ne? Dá pena","Difícil pra uma mina burra e insegura que nunca conquistou nada conviver com uma mulher bonita, inteligente e independente ne? Dá pena",1
"RT @TonhoDrinks: A mídia virou realmente uma inimiga voraz de tudo que não é sua narrativa degenerada! Isso é um absurdo completo!
 https: _",RT USERNAME: A mídia virou realmente uma inimiga voraz de tudo que não é sua narrativa degenerada! Isso é um absurdo completo!  https: _,0
"Sim, eu tenho mais o que fazer do que ficar twittando para seu entretenimento!","Sim, eu tenho mais o que fazer do que ficar twittando para seu entretenimento!",0
bom dia comendo pão branco,bom dia comendo pão branco,0
RT @otmar03: Sem nexo é gente que queimou sutiã no passado atualmente não ter coragem de queimar um burca porque a esquerda não permite!!! _,RT USERNAME: Sem nexo é gente que queimou sutiã no passado atualmente não ter coragem de queimar um burca porque a esquerda não permite!!! _,0
"@Famel_Zundapp e a Famel, cabe na Quechua?","USERNAME e a Famel, cabe na Quechua?",0
"Como posso ajudar o PNR? 
https://t.co/RLyn5JuE0L#Ajuda #Apoio #PNR #RenovarPortugal",Como posso ajudar o PNR?  https://t.co/RLyn5JuE0L#Ajuda #Apoio #PNR #RenovarPortugal,0
"@shitsokey seguiu-me esse e um de 'fufas do porto' ontem e eu só pensei que fosse uma brincadeira mas não, levam essa merda a sério","USERNAME seguiu-me esse e um de 'fufas do porto' ontem e eu só pensei que fosse uma brincadeira mas não, levam essa merda a sério",1
"'A mulher tem que ser o que ela quiser'
MAS NAO USA DECOTE SUA VADIA NAO PODE, TEMOS QUE ANDAR TODAS DE BURCA","'A mulher tem que ser o que ela quiser' MAS NAO USA DECOTE SUA VADIA NAO PODE, TEMOS QUE ANDAR TODAS DE BURCA",1
bandido bom é bandido dilacerado por dinossauros,bandido bom é bandido dilacerado por dinossauros,1
"@wesley_alcapone parece q teve uma ae, mas não em SP","USERNAME parece q teve uma ae, mas não em SP",0
"+q julga a amiguinha d burra so pq ela se arruma e n segue o esteriotipo, q axa q tem 'mulher q preste x mulher q n presta' etc etc PAREM","+q julga a amiguinha d burra so pq ela se arruma e n segue o esteriotipo, q axa q tem 'mulher q preste x mulher q n presta' etc etc PAREM",1
RT @marisa_lobo: O que quer dizer exatamente? https://t.co/1GcTutNH3Y,RT USERNAME: O que quer dizer exatamente? https://t.co/1GcTutNH3Y,0
"CAMAROTE GLACIAL JOAQUIN TEIXEIRA:
16:41 MOGI MIRI X BRAGANTINO NO TELÃO
16:43 JOÃO DÓRIA ARRASA NA PISTA DE DANÇA _ https://t.co/G4N5IIG9Ky",CAMAROTE GLACIAL JOAQUIN TEIXEIRA: 16:41 MOGI MIRI X BRAGANTINO NO TELÃO 16:43 JOÃO DÓRIA ARRASA NA PISTA DE DANÇA _ https://t.co/G4N5IIG9Ky,0
@Ricardohdc po ai mulher burra msm... mas se ta ligado que estagio vc n arruma ne  termina a escola daqui 3 meses,USERNAME po ai mulher burra msm... mas se ta ligado que estagio vc n arruma ne  termina a escola daqui 3 meses,1
RT @paulloxavier: @marisa_lobo querida comecei a ler sobre seu trabalho e vc esta de parabéns pela coragem conheci o seu trabalho estudando _,RT USERNAME: USERNAME querida comecei a ler sobre seu trabalho e vc esta de parabéns pela coragem conheci o seu trabalho estudando _,0
#SerMulherÉ é qualquer coisa longe disso aqui: https://t.co/EZAOX7lVdu,#SerMulherÉ é qualquer coisa longe disso aqui: https://t.co/EZAOX7lVdu,0
Ter cabelo curto é uma desgraça se sempre tá feia e gorda,Ter cabelo curto é uma desgraça se sempre tá feia e gorda,1
"SAIU A PROGRAMAÇÃO CARNAVALESCA DO GOLEIRO BRUNO:
COME MACARRÃO
ENGRAVIDAR A NAMORADA
JOGA MATA MATA
ALIMENTAR O CACHORRO
ENTERRO DOS OSSOS",SAIU A PROGRAMAÇÃO CARNAVALESCA DO GOLEIRO BRUNO: COME MACARRÃO ENGRAVIDAR A NAMORADA JOGA MATA MATA ALIMENTAR O CACHORRO ENTERRO DOS OSSOS,1
"11 milhoes de desempregados, empresas fechando, dolar alto e vcs preocupados c o fim do MinC???? vai trabalhar artista vagabundo","11 milhoes de desempregados, empresas fechando, dolar alto e vcs preocupados c o fim do MinC???? vai trabalhar artista vagabundo",1
"esse filha da puta do donald trump diminui a quantidade de refugiados que podem entrar no país, pq nao e a familia dele que ta sofrendo la","esse filha da puta do donald trump diminui a quantidade de refugiados que podem entrar no país, pq nao e a familia dele que ta sofrendo la",1
"@giovannaaramoss então pra falar dos Sírios refugiados, eu teria que ser um sírio refugiado? (juro que não é gastação)","USERNAME então pra falar dos Sírios refugiados, eu teria que ser um sírio refugiado? (juro que não é gastação)",1
Quando vc descobre que aquela mina que vc conhece de vista é sapatão,Quando vc descobre que aquela mina que vc conhece de vista é sapatão,1
"@ajulysantos nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil","USERNAME nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil",1
"Feliz dia das mulheres pra Tammy Gretchen
Que mesmo depois de várias alterações no chassi, continua sendo mulher!","Feliz dia das mulheres pra Tammy Gretchen Que mesmo depois de várias alterações no chassi, continua sendo mulher!",1
E parar de chantagem! https://t.co/Ltxio8iqL5,E parar de chantagem! https://t.co/Ltxio8iqL5,0
"Tô com uma vontade (bem grande) de mandar a atual dá minha ex ir se fuder!!!
*O que ela quer ficar me encarando*",Tô com uma vontade (bem grande) de mandar a atual dá minha ex ir se fuder!!! *O que ela quer ficar me encarando*,1
RT @ajulysantos: O ruim de falar mal do Papa Francisco pra quem não acompanha a política mundial é que vc acaba sendo chamada de doida.,RT USERNAME: O ruim de falar mal do Papa Francisco pra quem não acompanha a política mundial é que vc acaba sendo chamada de doida.,1
A culpa é de não ter tirado antes,A culpa é de não ter tirado antes,0
@moniquecastro69 vc fica gostosa até burca ou hábito(não lembro se  assim que escreve a roupa das freira)kkkkkk,USERNAME vc fica gostosa até burca ou hábito(não lembro se  assim que escreve a roupa das freira)kkkkkk,1
Hora de Fecho: Islão e extrema-direita mobilizam de modo similar - https://t.co/IdCMdebJ9d,Hora de Fecho: Islão e extrema-direita mobilizam de modo similar - https://t.co/IdCMdebJ9d,1
@HelderRocha16 @ChagaLuccas isso é um absurdo tb,USERNAME USERNAME isso é um absurdo tb,0
"o #BlocoEsquerda, promotor da Eutanásia, não tinha este tema no seu programa eleitoral. Isto é honesto?
@EsquerdaNet https://t.co/CyYCcDKPj4","o #BlocoEsquerda, promotor da Eutanásia, não tinha este tema no seu programa eleitoral. Isto é honesto? USERNAME https://t.co/CyYCcDKPj4",1
"Mulheres no dia das mulheres: SOMOS TODAS BONITAS 
No resto do ano : 'aquela gaja é mesmo feia e gorda vê-se mesmo _ https://t.co/LsBmMzCowB",Mulheres no dia das mulheres: SOMOS TODAS BONITAS  No resto do ano : 'aquela gaja é mesmo feia e gorda vê-se mesmo _ https://t.co/LsBmMzCowB,1
"Trança é bonito, para quem tem cabelo ruim é uma salvação [todos riem]","Trança é bonito, para quem tem cabelo ruim é uma salvação [todos riem]",0
"@amora_inlove Own gata, depende só de mim não.. nem dela.. mas, vamos ver o que o futuro nos reserva... E tu? és solteira???","USERNAME Own gata, depende só de mim não.. nem dela.. mas, vamos ver o que o futuro nos reserva... E tu? és solteira???",0
"O que seria 'válido', então? Feminicídio? Estupro? Mercado de trabalho? Falamos disso todo dia. Poderia dedicar uma coluna a isso, então.","O que seria 'válido', então? Feminicídio? Estupro? Mercado de trabalho? Falamos disso todo dia. Poderia dedicar uma coluna a isso, então.",1
dizer que é ou não é é facil!! Eu quero ver o feminismo não defender ou ser contra uma pauta da Esquerda!!! https://t.co/iTZpiQddqH,dizer que é ou não é é facil!! Eu quero ver o feminismo não defender ou ser contra uma pauta da Esquerda!!! https://t.co/iTZpiQddqH,1
"Comentei num perfil irônico. Como resposta, fui chamada de: feia, gorda, mal amada, feminazi, fascita, golpista, bu _ https://t.co/mw8FS5dOP6","Comentei num perfil irônico. Como resposta, fui chamada de: feia, gorda, mal amada, feminazi, fascita, golpista, bu _ https://t.co/mw8FS5dOP6",1
"Cuidado com a burra falando mal do feminismo 'atual'. Mas gente, mulher ignorante assim é uó. É cada coisa né non.","Cuidado com a burra falando mal do feminismo 'atual'. Mas gente, mulher ignorante assim é uó. É cada coisa né non.",1
RT @Ramo_Jr: Aberrações da Agenda Globalista.  https://t.co/O2WpXJUYgP,RT USERNAME: Aberrações da Agenda Globalista.  https://t.co/O2WpXJUYgP,0
"Mãe desiste eu sou gorda e feia e ñ há volta a dar e se não gostas lembra-te q foste tu q fizeste mal o trabalho, aceita q dói menos","Mãe desiste eu sou gorda e feia e ñ há volta a dar e se não gostas lembra-te q foste tu q fizeste mal o trabalho, aceita q dói menos",1
"RT @nostrendsbrasil:  “Filha de petista posta foto em que coloca maconha na boca de cachorro” 
https://t.co/IM7rD0DG4fhttps://t.co/aQzcr _",RT USERNAME:  “Filha de petista posta foto em que coloca maconha na boca de cachorro”  https://t.co/IM7rD0DG4fhttps://t.co/aQzcr _,0
"Bom dia, companheiros! Como diria a Bárbara Guimarães, hoje, está um frio do Carrilho!","Bom dia, companheiros! Como diria a Bárbara Guimarães, hoje, está um frio do Carrilho!",0
"@miguelcarvalhu 
Dizer que a 'hegemonia tem os dias contados'? Então não se pode prever o fim de um ciclo? 
Que patéticos...",USERNAME  Dizer que a 'hegemonia tem os dias contados'? Então não se pode prever o fim de um ciclo?  Que patéticos...,0
RT @BrasilLibre: Por ex obras em angola vieram ou nao do BNDES? Quero entender @JoseMedeirosMT @Dep_Imbassahy @MoreiraFranco @BlogDoPim htt _,RT USERNAME: Por ex obras em angola vieram ou nao do BNDES? Quero entender USERNAME USERNAME USERNAME USERNAME htt _,0
RT @CapitalismoOP: Parabéns às mulheres q merecem respeito não só hj mas todos os dias do ano assim como os homens. Só unidos teremos uma s _,RT USERNAME: Parabéns às mulheres q merecem respeito não só hj mas todos os dias do ano assim como os homens. Só unidos teremos uma s _,0
Hj a @Srta_Iozzi não perguntou se a Lava Jato acabou depois do impeachment,Hj a USERNAME não perguntou se a Lava Jato acabou depois do impeachment,0
RT @JOAQUINVOLTOU: VAGABUNDO CHEGA AGARRANDO AS MENINA SEJEM CAVALHEIROS: OLA TUDO BEM VOCÊ É LINDA SEUS LABIOS DEVEM TER GOSTO DE MÉL VAMO _,RT USERNAME: VAGABUNDO CHEGA AGARRANDO AS MENINA SEJEM CAVALHEIROS: OLA TUDO BEM VOCÊ É LINDA SEUS LABIOS DEVEM TER GOSTO DE MÉL VAMO _,1
"ALÔ FEMINISTAS:
ATÉ UM SISTEMA SOLAR RESOLVEU APARECER
E O SEU PAI NADA https://t.co/ysRnqpzvOX",ALÔ FEMINISTAS: ATÉ UM SISTEMA SOLAR RESOLVEU APARECER E O SEU PAI NADA https://t.co/ysRnqpzvOX,1
"@GirafaDaTata sim, odeio sua atitude escrota de ser sapatão","USERNAME sim, odeio sua atitude escrota de ser sapatão",1
"RT @ronaldocaiado: Como vamos estipular idade mínima de 65 anos para aposentadoria, se o cidadão arca com toda política de incentivos, bols _","RT USERNAME: Como vamos estipular idade mínima de 65 anos para aposentadoria, se o cidadão arca com toda política de incentivos, bols _",0
"Chilenos que fugiram de Caxias foram capturados em Madrid. Mesmo assim, estiveram mais tempo em liberdade do que o Porto em primeiro lugar.","Chilenos que fugiram de Caxias foram capturados em Madrid. Mesmo assim, estiveram mais tempo em liberdade do que o Porto em primeiro lugar.",1
"homem morre: homicídio 
criança morre: homicídio
hetero morre: homicídio
gay morre: homofobia",homem morre: homicídio  criança morre: homicídio hetero morre: homicídio gay morre: homofobia,1
"Como se cria cotas para algo que é livre pra qq um fazer????
Bateu a dúvida aqui https://t.co/kSZB6g5eGA",Como se cria cotas para algo que é livre pra qq um fazer???? Bateu a dúvida aqui https://t.co/kSZB6g5eGA,1
"@linknpacto pq você aprendeu a gostar de branco e vê negro como não-atraente inconscientemente. culpados: mídia, família, brancos em geral.","USERNAME pq você aprendeu a gostar de branco e vê negro como não-atraente inconscientemente. culpados: mídia, família, brancos em geral.",1
"@Curate_Angola o conteúdo é o mesmo, e um beijo gay não é mais explícito que um hetero, a malícia está na mente adulta.","USERNAME o conteúdo é o mesmo, e um beijo gay não é mais explícito que um hetero, a malícia está na mente adulta.",0
"as fufas usam sempre o msm argumento
'como mais cona que tu'",as fufas usam sempre o msm argumento 'como mais cona que tu',1
RT @GABRIELPlNHEIRO: Comentarista da Globo News tem orgulho de posar ao lado de homem que fez parte de uma organização terrorista q matou m _,RT USERNAME: Comentarista da Globo News tem orgulho de posar ao lado de homem que fez parte de uma organização terrorista q matou m _,0
"O racismo só vai acabar, quando deixar de existir homem branco ou homem negro e passar a existir apenas HOMEM","O racismo só vai acabar, quando deixar de existir homem branco ou homem negro e passar a existir apenas HOMEM",0
eu me arrumei em exatos 3 min pra trabalhar,eu me arrumei em exatos 3 min pra trabalhar,0
RT @destruectag: eu to dando vários berros com o @direitafalando,RT USERNAME: eu to dando vários berros com o USERNAME,1
@karlariane não adianta porque ela não mostra a cara. o máximo que vai acontecer é o perfil ser apagado.,USERNAME não adianta porque ela não mostra a cara. o máximo que vai acontecer é o perfil ser apagado.,0
RT @jpintocoelho60: Vai continuar a encolher os ombros ou vai mudar e apoiar o #PNR? https://t.co/8UCBJ0yWMS,RT USERNAME: Vai continuar a encolher os ombros ou vai mudar e apoiar o #PNR? https://t.co/8UCBJ0yWMS,0
"Em breve no Brasil...com a aprovação da PL do imigrante proposta pelo motorista do Mariguella, @Aloysio_Nunes Nunes https://t.co/tdZ5jZ3O7C","Em breve no Brasil...com a aprovação da PL do imigrante proposta pelo motorista do Mariguella, USERNAME Nunes https://t.co/tdZ5jZ3O7C",0
"pelo menos a ditadura melhorou a economia
agora não posso nem ir pra miami de primeira classe",pelo menos a ditadura melhorou a economia agora não posso nem ir pra miami de primeira classe,0
"@ResenhaBBMP essa é a questão! O Bahia vai bancar Levir Culpi? Marcelo de Oliveira? Osvaldo? Ou querem Joel Cruz, Arruzinho, sapatão e etc.?","USERNAME essa é a questão! O Bahia vai bancar Levir Culpi? Marcelo de Oliveira? Osvaldo? Ou querem Joel Cruz, Arruzinho, sapatão e etc.?",1
"@amandtra gente e as meninas dando biscoito, acho q vc n eh a mulher mais burra do mundo mais","USERNAME gente e as meninas dando biscoito, acho q vc n eh a mulher mais burra do mundo mais",1
"@fcancio 
ahahahahah os média?? São a maior pouca vergonha, manipuladores, tendenciosos.
Mas... ainda continua a pensar no Trump? Livra!...","USERNAME  ahahahahah os média?? São a maior pouca vergonha, manipuladores, tendenciosos. Mas... ainda continua a pensar no Trump? Livra!...",1
por que eu não posso chamar ele de PRETO se ele me chama de BRANQUELO AZEDO,por que eu não posso chamar ele de PRETO se ele me chama de BRANQUELO AZEDO,1
"@gabrisinhas @LeoLimaDuarte não to a fim de explicar que racismo inverso não existe, aprende sozinha, branquela.","USERNAME USERNAME não to a fim de explicar que racismo inverso não existe, aprende sozinha, branquela.",1
Não é o próprio governo ao estar sempre  a falar disto que causa mais ruído?? https://t.co/LR5O6Az65T,Não é o próprio governo ao estar sempre  a falar disto que causa mais ruído?? https://t.co/LR5O6Az65T,0
"Boas Festas
Juntos vamos RENOVAR PORTUGAL! 
#PNR #Portugal #FelizNatal https://t.co/EcsE8QgH2a",Boas Festas Juntos vamos RENOVAR PORTUGAL!  #PNR #Portugal #FelizNatal https://t.co/EcsE8QgH2a,0
. @trouxanizer @HeitorHB e do outro uma imbecil útil usando fc de diva pop achando que ta destruindo o mundo com seus pensamentos perdidos.,. USERNAME USERNAME e do outro uma imbecil útil usando fc de diva pop achando que ta destruindo o mundo com seus pensamentos perdidos.,1
Dia de Portugal! https://t.co/FwpSD4dGaV,Dia de Portugal! https://t.co/FwpSD4dGaV,0
"RT @huntergirl616: tentando intender a idiota do face q  compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve sabe _","RT USERNAME: tentando intender a idiota do face q  compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve sabe _",1
Sr. @PastorMalafaia gostaria q lesse minha humilde e desesperada carta. http://t.co/VmFpuwaz n quero ir pro inferno! q faço c meus escravos?,Sr. USERNAME gostaria q lesse minha humilde e desesperada carta. http://t.co/VmFpuwaz n quero ir pro inferno! q faço c meus escravos?,1
@mcsoares_ @karlariane por favor!! tem mais foto dela aqui https://t.co/vt55YR25FE,USERNAME USERNAME por favor!! tem mais foto dela aqui https://t.co/vt55YR25FE,0
PAI DA FEMINISTA SAIU PRA COMPRAR CIGARRO NO 2º GOL DO ZIDANE EM 1.998 E NUNCA MAIS VOLTOU  #JoaquinResponde https://t.co/EzreOGNSJa,PAI DA FEMINISTA SAIU PRA COMPRAR CIGARRO NO 2º GOL DO ZIDANE EM 1.998 E NUNCA MAIS VOLTOU  #JoaquinResponde https://t.co/EzreOGNSJa,0
"RT @AlexandreVidalR: @fpdobbin @g1 eita, não é zero... Alemanha avança para restringir uso da burca https://t.co/Z66n4Bz0q5 via @dw_brasil","RT USERNAME: USERNAME USERNAME eita, não é zero... Alemanha avança para restringir uso da burca https://t.co/Z66n4Bz0q5 via USERNAME",0
Poster Fotográfico Panorâmico da Serra do Corvo Branco do fotografo  Seergio Giusti.  Veja mais:... https://t.co/2s82d0Ce1v,Poster Fotográfico Panorâmico da Serra do Corvo Branco do fotografo  Seergio Giusti.  Veja mais:... https://t.co/2s82d0Ce1v,0
"Totalitários, cobardes-queixinhas! Nojento @sosracismo vive dos nossos impostos e é racista anti-nacional e branco.
https://t.co/QQ1JXNk5uJ","Totalitários, cobardes-queixinhas! Nojento USERNAME vive dos nossos impostos e é racista anti-nacional e branco. https://t.co/QQ1JXNk5uJ",1
Feliz dia do amigo que toma pinga!,Feliz dia do amigo que toma pinga!,0
"@jnflesch caralho queria ficar no palco do strokes o dia todo pra pegar grade mas duran duran nao vai tocar no mesmo, que porra da angola","USERNAME caralho queria ficar no palco do strokes o dia todo pra pegar grade mas duran duran nao vai tocar no mesmo, que porra da angola",0
@CapitalismoOP  vc tem face?,USERNAME  vc tem face?,0
Bem que a igreja catolica podia promover uma nova cruzada né??,Bem que a igreja catolica podia promover uma nova cruzada né??,0
@macsanto777 Nazista é contra judeu e negro. Bolsonaro é a favor de Judeu-israel e o sogro dele é o Paulo Negao..pesquisa na net,USERNAME Nazista é contra judeu e negro. Bolsonaro é a favor de Judeu-israel e o sogro dele é o Paulo Negao..pesquisa na net,0
"@amora_inlove Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas","USERNAME Uma galera que se reuniu contra o governo intransigente de  Vargas. Oficialmente min 800 pssoas morreram, cidades bombardeadas",0
RT @GoncaloNickoo: @DrxkesBabygirl volta para a tua terra,RT USERNAME: USERNAME volta para a tua terra,1
"No Sábado, dia 24 de Setembro, pelas 20h00, o PNR realiza o seu “Jantar de Reentrada Política”, em Lisboa. https://t.co/0Bop6FBW2p","No Sábado, dia 24 de Setembro, pelas 20h00, o PNR realiza o seu “Jantar de Reentrada Política”, em Lisboa. https://t.co/0Bop6FBW2p",0
Mais uma Bíblia em quadrinhos para crianças.#NãoAutorizada...Beira a livros pornô para adultos. Zombando de... https://t.co/gDJ7YXDaqE,Mais uma Bíblia em quadrinhos para crianças.#NãoAutorizada...Beira a livros pornô para adultos. Zombando de... https://t.co/gDJ7YXDaqE,1
"@iasmola eu não duvido, mas não custa tentar.","USERNAME eu não duvido, mas não custa tentar.",0
@digitalbath__ @__m00nchild esse branco de merda....,USERNAME USERNAME esse branco de merda....,1
Parabéns ao nosso novo #VASecretary Dr. David Shulkin. Hora de cuidar dos veteranos que lutaram para proteger nosso _ https://t.co/wjaUiaXpsZ,Parabéns ao nosso novo #VASecretary Dr. David Shulkin. Hora de cuidar dos veteranos que lutaram para proteger nosso _ https://t.co/wjaUiaXpsZ,0
@RaquelRangel0 @GABRIELPlNHEIRO Laranja Mecânica é chato,USERNAME USERNAME Laranja Mecânica é chato,0
"E pra melhorar o ano, o blog da feminazi fascista @lolaescreva está caindo. Viva! https://t.co/eexRDVWKqm","E pra melhorar o ano, o blog da feminazi fascista USERNAME está caindo. Viva! https://t.co/eexRDVWKqm",1
"Feia ou bonita , gorda ou magra seja como for mulher nasceu para ser respeitada . Feliz dia da Mulher para todas nós","Feia ou bonita , gorda ou magra seja como for mulher nasceu para ser respeitada . Feliz dia da Mulher para todas nós",0
"RT @insoniascarvao: Usei o hi5 durante um dia, talvez uma manhã. Quando desativei a conta, disse à minha mulher: “esta cena, tipo, lol, kek _","RT USERNAME: Usei o hi5 durante um dia, talvez uma manhã. Quando desativei a conta, disse à minha mulher: “esta cena, tipo, lol, kek _",0
"'Erro de percepção mútuo', ou mentira constante?
Dão tantas vezes o dito por não dito.
https://t.co/Avkb0G8bmz","'Erro de percepção mútuo', ou mentira constante? Dão tantas vezes o dito por não dito. https://t.co/Avkb0G8bmz",0
"RT @perfectbody07: É muito difícil se amar depois do primeiro 'gorda', 'feia'.
Mais difícil é se olhar no espelho sabendo que você é...
#as _","RT USERNAME: É muito difícil se amar depois do primeiro 'gorda', 'feia'. Mais difícil é se olhar no espelho sabendo que você é... #as _",1
Alguém consegue ver um guarda-chuva amarelo e não lembrar de how I met your mother? https://t.co/FI3uSXOCaq,Alguém consegue ver um guarda-chuva amarelo e não lembrar de how I met your mother? https://t.co/FI3uSXOCaq,0
Via Estadão:  -  https://t.co/OhfmUvrJSU,Via Estadão:  -  https://t.co/OhfmUvrJSU,0
A mulher já vai ter uma vantagem na cozinha só por conhecer as coisas da física #MasterChefBR,A mulher já vai ter uma vantagem na cozinha só por conhecer as coisas da física #MasterChefBR,1
"RT @JoselitoMuller3: Mulheres são minorias entre estivadores, apesar de políticas de inclusão https://t.co/PQkoP8mcFOhttps://t.co/TrKLN6y3 _","RT USERNAME: Mulheres são minorias entre estivadores, apesar de políticas de inclusão https://t.co/PQkoP8mcFOhttps://t.co/TrKLN6y3 _",1
"MANDE SEU FILHO ARRUMAR UMA MULHER DECENTE NÃO UMA BISCATE
#JOAQUINRESPONDE https://t.co/bsXqWCpvua",MANDE SEU FILHO ARRUMAR UMA MULHER DECENTE NÃO UMA BISCATE #JOAQUINRESPONDE https://t.co/bsXqWCpvua,1
RT @TheDolanType: Há coisas que os pais nos dizem que nem tem noção do impacto que tem em nós,RT USERNAME: Há coisas que os pais nos dizem que nem tem noção do impacto que tem em nós,0
"RT @josesoubrasilia: O PODER EMANA DO POVO
A PM TAMBÉM É POVO BRASILEIRO  https://t.co/o3wiRZhKwO",RT USERNAME: O PODER EMANA DO POVO A PM TAMBÉM É POVO BRASILEIRO  https://t.co/o3wiRZhKwO,0
"nada melhor do que apreciar o impeachment aqui no meu ap na zona sul
só nao sei pq minha empregada tá chorando coitada nem conhece política",nada melhor do que apreciar o impeachment aqui no meu ap na zona sul só nao sei pq minha empregada tá chorando coitada nem conhece política,1
"Matérias q deveriam ser obrigatórias (meninos)
- PORT/MATEM
- Geografia/Hist
- Largar de viadagem
- Seja homem
- Coma mulher direito seu FDP",Matérias q deveriam ser obrigatórias (meninos) - PORT/MATEM - Geografia/Hist - Largar de viadagem - Seja homem - Coma mulher direito seu FDP,1
"@PauloBotelho87 Ué, vai lá machão! Leva tua mulher pra galera ver!","USERNAME Ué, vai lá machão! Leva tua mulher pra galera ver!",1
Quando estás num primeiro date com uma miúda e do nada ela diz 'também já te vês a casar comigo e a ter filhos lind _ https://t.co/cMcx1guTHp,Quando estás num primeiro date com uma miúda e do nada ela diz 'também já te vês a casar comigo e a ter filhos lind _ https://t.co/cMcx1guTHp,0
RT @Chris_Branco: Para @JOAQUINVOLTOU com amor. https://t.co/L1VRSXkIYe,RT USERNAME: Para USERNAME com amor. https://t.co/L1VRSXkIYe,0
"RT @ComendaSerra: Pena Capital (pena de morte) para políticos corruptos já!
Meu sistema é bruto! https://t.co/lfelPg5c12",RT USERNAME: Pena Capital (pena de morte) para políticos corruptos já! Meu sistema é bruto! https://t.co/lfelPg5c12,1
Torcedores do Inter agora https://t.co/ujlrKGvlpD,Torcedores do Inter agora https://t.co/ujlrKGvlpD,0
"Comigo na @CamaraLisboa, isto seria impensável. Islão, aqui não! Pela Identidade: Portugal e os Portugueses primeir _ https://t.co/2nPO2gy7a3","Comigo na USERNAME, isto seria impensável. Islão, aqui não! Pela Identidade: Portugal e os Portugueses primeir _ https://t.co/2nPO2gy7a3",1
@g1 O politicamente correto está acabando com a sociedade. Mulher burra é que se sente ofendida com isto. Tenho orgulho de saber o preço.,USERNAME O politicamente correto está acabando com a sociedade. Mulher burra é que se sente ofendida com isto. Tenho orgulho de saber o preço.,1
"Essa geração atual de jovens tem mais é que se foder e acabou
Mete um ditador socialista no país pra metade ser fuzilado e fim de papo",Essa geração atual de jovens tem mais é que se foder e acabou Mete um ditador socialista no país pra metade ser fuzilado e fim de papo,1
